Year,Region,StatArea,Section,LocationCode,LocationName,SpawnNumber,Eastings,Northings,Longitude,Latitude,Method,SurfSI,MacroSI,UnderSI,Survey
1951,A27,27,272,1311,Klaskish Inlt,1,876452.0676760996,583419.7283536963,-127.733,50.2528,Surface,194.9611561400764,NA,NA,Surface
1951,A27,27,272,1312,Klaskino Inlt,1,876012.0946763782,588728.5490517223,-127.741,50.3004,Surface,430.3287055392896,NA,NA,Surface
1951,A27,27,273,1318,Winter Hrbr,1,858303.783647426,615124.8187075793,-128,50.5333,Surface,141.13349686907887,NA,NA,Surface
1951,A27,27,273,1320,Leeson Hrbr,1,856186.5910414621,612980.3728940665,-128.029,50.5135,Surface,69.04088621231993,NA,NA,Surface
1951,A27,27,273,1320,Leeson Hrbr,2,856186.5910414621,612980.3728940665,-128.029,50.5135,Surface,52.296076771619866,NA,NA,Surface
1951,A27,27,273,1320,Leeson Hrbr,3,856186.5910414621,612980.3728940665,-128.029,50.5135,Surface,27.006915559066464,NA,NA,Surface
1951,A27,27,273,1321,Hazard Pt,1,855860.0081201126,611486.5540957075,-128.033,50.5,Surface,581.8037862546008,NA,NA,Surface
1951,A27,27,273,1326,Quashtin Cr,1,857684.7492225426,613293.957837695,-128.008,50.5167,Surface,79.35139153651355,NA,NA,Surface
1951,A27,27,273,1326,Quashtin Cr,2,857684.7492225426,613293.957837695,-128.008,50.5167,Surface,52.900927691009045,NA,NA,Surface
1951,A27,27,273,1328,Browning Inlt,1,853155.8207504539,611197.514695146,-128.071,50.4967,Surface,172.1073048271608,NA,NA,Surface
1951,A27,27,273,1330,Greenwood Pt,1,856669.8939797691,612521.1493073602,-128.022,50.5095,Surface,154.31052672372215,NA,NA,Surface
1952,A27,27,273,1320,Leeson Hrbr,1,856186.5910414621,612980.3728940665,-128.029,50.5135,Surface,27.006915559066464,NA,NA,Surface
1952,A27,27,273,1320,Leeson Hrbr,2,856186.5910414621,612980.3728940665,-128.029,50.5135,Surface,22.65343862194061,NA,NA,Surface
1952,A27,27,273,1320,Leeson Hrbr,3,856186.5910414621,612980.3728940665,-128.029,50.5135,Surface,6.9664481830807485,NA,NA,Surface
1952,A27,27,273,1320,Leeson Hrbr,4,856186.5910414621,612980.3728940665,-128.029,50.5135,Surface,6.107571009824218,NA,NA,Surface
1952,A27,27,273,1320,Leeson Hrbr,5,856186.5910414621,612980.3728940665,-128.029,50.5135,Surface,293.16948984994264,NA,NA,Surface
1952,A27,27,273,1320,Leeson Hrbr,6,856186.5910414621,612980.3728940665,-128.029,50.5135,Surface,15.033645630924225,NA,NA,Surface
1952,A27,27,273,1321,Hazard Pt,1,855860.0081201126,611486.5540957075,-128.033,50.5,Surface,28.696500799782157,NA,NA,Surface
1952,A27,27,273,1326,Quashtin Cr,1,857684.7492225426,613293.957837695,-128.008,50.5167,Surface,19.499976995590924,NA,NA,Surface
1952,A27,27,273,1330,Greenwood Pt,1,856669.8939797691,612521.1493073602,-128.022,50.5095,Surface,65.24447748557782,NA,NA,Surface
1953,A27,27,272,1311,Klaskish Inlt,1,876452.0676760996,583419.7283536963,-127.733,50.2528,Surface,270.12294865872536,NA,NA,Surface
