Region,StatArea,Section,LocationCode,Eastings,Northings,SpawnIndex,Number
Strait of Georgia,17,172,1001,1138016.918000001,474568.2132999986,2188.191076825,4
Strait of Georgia,17,172,1002,1143283.595000001,472241.85019999923,1894.2306405133334,15
Strait of Georgia,17,172,1440,1152183.4599999995,464771.41890000296,682.98944074,5
Strait of Georgia,17,172,1563,1149460.741,470132.40009999915,435.4314625688889,9
Strait of Georgia,17,172,1573,1145601.3569999994,471487.5549999996,1899.4324515013334,15
Strait of Georgia,17,172,3009,1138142.7569999993,475158.25300000125,992.1815181666667,3
Strait of Georgia,17,172,3010,1137377.253,475786.1545000018,13.02675928,1
Strait of Georgia,17,172,3056,1155672.4809999997,465036.3505000015,93.10609816,2
Strait of Georgia,17,172,920,1148315.131,466980.9262000015,203.5494342242857,7
Strait of Georgia,17,172,921,1150518.543,463031.1287000025,20.1541866,2
Strait of Georgia,17,172,922,1148361.2190000005,471026.8997000038,521.0995899186429,14
Strait of Georgia,17,172,923,1153692.0410000002,463433.3240999989,228.57663501633334,3
Strait of Georgia,17,172,925,1149924.4589999993,465481.40019999765,6.0475106180000004,2
Strait of Georgia,17,172,929,1155669.3279999997,466487.31370000064,1332.78310605725,4
Strait of Georgia,17,172,930,1150119.1789999998,468391.54030000005,2187.8262519025,8
Strait of Georgia,17,172,931,1148929.9700000002,470271.33049999777,357.93009972466666,9
Strait of Georgia,17,172,932,1150190.2280000001,467343.91039999947,522.3296382088889,9
Strait of Georgia,17,172,933,1151399.7349999996,466885.18560000317,525.74152454375,8
Strait of Georgia,17,172,996,1139716.730999999,474583.2167000032,618.6897738,1
Strait of Georgia,17,172,997,1139655.7060000005,473099.4504999997,1306.902040111111,9
Strait of Georgia,17,172,998,1140303.1080000005,472376.0899999974,443.87101781,10
Strait of Georgia,17,173,3055,1159295.1700000006,465949.5623000019,2139.067676125,4
Strait of Georgia,17,173,926,1157047.6300000006,459829.3712000028,169.33221363,3
Strait of Georgia,17,173,947,1160673.5660000008,457419.4137999948,1013.8932440985715,7
Strait of Georgia,17,173,992,1159908.363,459461.38339999714,136.6623743627143,7
